"","passanger","weather","time","couponType","expiration","age","maritalStatus","has_children","education","occupation","income","Bar","CoffeeHouse","CarryAway","Restaurant20To50","toCoupon","Y"
"127","Alone","Sunny","7AM","Coffee House","2h","20-30","Unmarried partner","0","Bachelors degree","student","Medium","1~3","gt8","4~8","less1","more than 25min","1"
"128","Alone","Sunny","7AM","Bar","1d","20-30","Unmarried partner","0","Bachelors degree","student","Medium","1~3","gt8","4~8","less1","more than 25min","1"
"129","Alone","Sunny","7AM","Restaurant(20-50)","1d","20-30","Unmarried partner","0","Bachelors degree","student","Medium","1~3","gt8","4~8","less1","15min - 25min","0"
"130","Alone","Sunny","7AM","Carry out & Take away","2h","20-30","Unmarried partner","0","Bachelors degree","student","Medium","1~3","gt8","4~8","less1","5min - 15min","1"
"131","Alone","Sunny","7AM","Restaurant(<20)","1d","20-30","Unmarried partner","0","Bachelors degree","student","Medium","1~3","gt8","4~8","less1","5min - 15min","1"
"132","Alone","Sunny","7AM","Coffee House","2h","20-30","Unmarried partner","0","Bachelors degree","student","Medium","1~3","gt8","4~8","less1","15min - 25min","1"
"133","Alone","Sunny","2PM","Restaurant(<20)","1d","20-30","Married partner","1","Some college - no degree","unemployed","Medium","never","less1","gt8","never","5min - 15min","1"
"134","Friend(s)","Sunny","10AM","Coffee House","2h","20-30","Married partner","1","Some college - no degree","unemployed","Medium","never","less1","gt8","never","5min - 15min","1"
"135","Friend(s)","Sunny","10AM","Carry out & Take away","2h","20-30","Married partner","1","Some college - no degree","unemployed","Medium","never","less1","gt8","never","15min - 25min","1"
"136","Friend(s)","Sunny","2PM","Coffee House","2h","20-30","Married partner","1","Some college - no degree","unemployed","Medium","never","less1","gt8","never","15min - 25min","1"
"137","Friend(s)","Sunny","2PM","Coffee House","1d","20-30","Married partner","1","Some college - no degree","unemployed","Medium","never","less1","gt8","never","15min - 25min","1"
"138","Friend(s)","Sunny","6PM","Restaurant(<20)","2h","20-30","Married partner","1","Some college - no degree","unemployed","Medium","never","less1","gt8","never","15min - 25min","1"
"139","Friend(s)","Sunny","2PM","Carry out & Take away","1d","20-30","Married partner","1","Some college - no degree","unemployed","Medium","never","less1","gt8","never","15min - 25min","1"
"140","Kid(s)","Sunny","10AM","Restaurant(<20)","2h","20-30","Married partner","1","Some college - no degree","unemployed","Medium","never","less1","gt8","never","15min - 25min","1"
"141","Kid(s)","Sunny","10AM","Carry out & Take away","2h","20-30","Married partner","1","Some college - no degree","unemployed","Medium","never","less1","gt8","never","15min - 25min","1"
"142","Kid(s)","Sunny","10AM","Bar","1d","20-30","Married partner","1","Some college - no degree","unemployed","Medium","never","less1","gt8","never","15min - 25min","0"
"143","Kid(s)","Sunny","2PM","Restaurant(<20)","1d","20-30","Married partner","1","Some college - no degree","unemployed","Medium","never","less1","gt8","never","5min - 15min","1"
"144","Kid(s)","Sunny","2PM","Restaurant(<20)","1d","20-30","Married partner","1","Some college - no degree","unemployed","Medium","never","less1","gt8","never","15min - 25min","1"
"145","Kid(s)","Sunny","6PM","Coffee House","2h","20-30","Married partner","1","Some college - no degree","unemployed","Medium","never","less1","gt8","never","15min - 25min","0"
"146","Alone","Sunny","6PM","Bar","1d","20-30","Married partner","1","Some college - no degree","unemployed","Medium","never","less1","gt8","never","5min - 15min","0"
"147","Alone","Sunny","6PM","Restaurant(20-50)","1d","20-30","Married partner","1","Some college - no degree","unemployed","Medium","never","less1","gt8","never","15min - 25min","0"
"148","Alone","Sunny","6PM","Coffee House","2h","20-30","Married partner","1","Some college - no degree","unemployed","Medium","never","less1","gt8","never","5min - 15min","0"
"149","Alone","Sunny","7AM","Coffee House","2h","20-30","Married partner","1","Some college - no degree","unemployed","Medium","never","less1","gt8","never","more than 25min","0"
"150","Alone","Sunny","7AM","Bar","1d","20-30","Married partner","1","Some college - no degree","unemployed","Medium","never","less1","gt8","never","more than 25min","0"
"151","Alone","Sunny","7AM","Restaurant(20-50)","1d","20-30","Married partner","1","Some college - no degree","unemployed","Medium","never","less1","gt8","never","15min - 25min","0"
"152","Alone","Sunny","7AM","Carry out & Take away","2h","20-30","Married partner","1","Some college - no degree","unemployed","Medium","never","less1","gt8","never","5min - 15min","0"
"153","Alone","Sunny","7AM","Restaurant(<20)","1d","20-30","Married partner","1","Some college - no degree","unemployed","Medium","never","less1","gt8","never","5min - 15min","1"
"154","Alone","Sunny","7AM","Coffee House","2h","20-30","Married partner","1","Some college - no degree","unemployed","Medium","never","less1","gt8","never","15min - 25min","0"
"155","Alone","Sunny","2PM","Restaurant(<20)","1d","20-30","Single","0","Some college - no degree","employed","Medium","gt8","gt8","gt8","gt8","5min - 15min","1"
"156","Friend(s)","Sunny","10AM","Coffee House","2h","20-30","Single","0","Some college - no degree","employed","Medium","gt8","gt8","gt8","gt8","5min - 15min","0"
"157","Friend(s)","Sunny","10AM","Bar","1d","20-30","Single","0","Some college - no degree","employed","Medium","gt8","gt8","gt8","gt8","5min - 15min","1"
"158","Friend(s)","Sunny","10AM","Carry out & Take away","2h","20-30","Single","0","Some college - no degree","employed","Medium","gt8","gt8","gt8","gt8","15min - 25min","0"
"159","Friend(s)","Sunny","2PM","Coffee House","1d","20-30","Single","0","Some college - no degree","employed","Medium","gt8","gt8","gt8","gt8","5min - 15min","1"
"160","Friend(s)","Sunny","2PM","Coffee House","2h","20-30","Single","0","Some college - no degree","employed","Medium","gt8","gt8","gt8","gt8","15min - 25min","0"
"161","Friend(s)","Sunny","2PM","Coffee House","1d","20-30","Single","0","Some college - no degree","employed","Medium","gt8","gt8","gt8","gt8","15min - 25min","1"
"162","Friend(s)","Sunny","2PM","Restaurant(<20)","1d","20-30","Single","0","Some college - no degree","employed","Medium","gt8","gt8","gt8","gt8","15min - 25min","1"
"163","Friend(s)","Sunny","6PM","Coffee House","2h","20-30","Single","0","Some college - no degree","employed","Medium","gt8","gt8","gt8","gt8","5min - 15min","0"
"164","Friend(s)","Sunny","6PM","Restaurant(<20)","2h","20-30","Single","0","Some college - no degree","employed","Medium","gt8","gt8","gt8","gt8","15min - 25min","0"
"165","Friend(s)","Sunny","2PM","Coffee House","2h","20-30","Single","0","Some college - no degree","employed","Medium","gt8","gt8","gt8","gt8","5min - 15min","0"
"166","Friend(s)","Sunny","2PM","Carry out & Take away","1d","20-30","Single","0","Some college - no degree","employed","Medium","gt8","gt8","gt8","gt8","15min - 25min","1"
"167","Alone","Sunny","10AM","Coffee House","2h","20-30","Single","0","Some college - no degree","employed","Medium","gt8","gt8","gt8","gt8","5min - 15min","0"
"168","Alone","Sunny","6PM","Bar","1d","20-30","Single","0","Some college - no degree","employed","Medium","gt8","gt8","gt8","gt8","5min - 15min","1"
"169","Alone","Sunny","6PM","Restaurant(20-50)","1d","20-30","Single","0","Some college - no degree","employed","Medium","gt8","gt8","gt8","gt8","15min - 25min","1"
"170","Alone","Sunny","6PM","Coffee House","2h","20-30","Single","0","Some college - no degree","employed","Medium","gt8","gt8","gt8","gt8","5min - 15min","0"
"171","Alone","Sunny","7AM","Coffee House","2h","20-30","Single","0","Some college - no degree","employed","Medium","gt8","gt8","gt8","gt8","more than 25min","0"
"172","Alone","Sunny","7AM","Bar","1d","20-30","Single","0","Some college - no degree","employed","Medium","gt8","gt8","gt8","gt8","more than 25min","1"
"173","Alone","Sunny","7AM","Restaurant(20-50)","1d","20-30","Single","0","Some college - no degree","employed","Medium","gt8","gt8","gt8","gt8","15min - 25min","1"
"174","Alone","Sunny","7AM","Carry out & Take away","2h","20-30","Single","0","Some college - no degree","employed","Medium","gt8","gt8","gt8","gt8","5min - 15min","0"
"175","Alone","Sunny","7AM","Restaurant(<20)","1d","20-30","Single","0","Some college - no degree","employed","Medium","gt8","gt8","gt8","gt8","5min - 15min","1"
"176","Alone","Sunny","7AM","Coffee House","2h","20-30","Single","0","Some college - no degree","employed","Medium","gt8","gt8","gt8","gt8","15min - 25min","0"
"177","Alone","Sunny","2PM","Restaurant(<20)","1d","20-30","Single","1","Associates degree","employed","Low","never","1~3","4~8","less1","5min - 15min","1"
"178","Friend(s)","Sunny","10AM","Coffee House","2h","20-30","Single","1","Associates degree","employed","Low","never","1~3","4~8","less1","5min - 15min","1"
"179","Friend(s)","Sunny","10AM","Bar","1d","20-30","Single","1","Associates degree","employed","Low","never","1~3","4~8","less1","5min - 15min","0"
"180","Friend(s)","Sunny","10AM","Carry out & Take away","2h","20-30","Single","1","Associates degree","employed","Low","never","1~3","4~8","less1","15min - 25min","1"
"181","Friend(s)","Sunny","2PM","Coffee House","1d","20-30","Single","1","Associates degree","employed","Low","never","1~3","4~8","less1","5min - 15min","1"
"182","Friend(s)","Sunny","2PM","Coffee House","2h","20-30","Single","1","Associates degree","employed","Low","never","1~3","4~8","less1","15min - 25min","1"
"183","Friend(s)","Sunny","2PM","Coffee House","1d","20-30","Single","1","Associates degree","employed","Low","never","1~3","4~8","less1","15min - 25min","1"
"184","Friend(s)","Sunny","2PM","Restaurant(<20)","1d","20-30","Single","1","Associates degree","employed","Low","never","1~3","4~8","less1","15min - 25min","1"
"185","Friend(s)","Sunny","6PM","Coffee House","2h","20-30","Single","1","Associates degree","employed","Low","never","1~3","4~8","less1","5min - 15min","1"
"186","Friend(s)","Sunny","6PM","Restaurant(<20)","2h","20-30","Single","1","Associates degree","employed","Low","never","1~3","4~8","less1","15min - 25min","1"
"187","Friend(s)","Sunny","2PM","Coffee House","2h","20-30","Single","1","Associates degree","employed","Low","never","1~3","4~8","less1","5min - 15min","1"
"188","Friend(s)","Sunny","2PM","Carry out & Take away","1d","20-30","Single","1","Associates degree","employed","Low","never","1~3","4~8","less1","15min - 25min","1"
"189","Alone","Sunny","6PM","Coffee House","2h","20-30","Single","1","Associates degree","employed","Low","never","1~3","4~8","less1","5min - 15min","1"
"190","Alone","Sunny","7AM","Bar","1d","20-30","Single","1","Associates degree","employed","Low","never","1~3","4~8","less1","more than 25min","1"
"191","Alone","Sunny","7AM","Restaurant(20-50)","1d","20-30","Single","1","Associates degree","employed","Low","never","1~3","4~8","less1","15min - 25min","1"
"192","Alone","Sunny","7AM","Carry out & Take away","2h","20-30","Single","1","Associates degree","employed","Low","never","1~3","4~8","less1","5min - 15min","1"
"193","Alone","Sunny","7AM","Restaurant(<20)","1d","20-30","Single","1","Associates degree","employed","Low","never","1~3","4~8","less1","5min - 15min","1"
"194","Alone","Sunny","2PM","Restaurant(<20)","1d","20-30","Single","0","Some college - no degree","employed","High","less1","never","gt8","less1","5min - 15min","1"
"195","Friend(s)","Sunny","10AM","Coffee House","2h","20-30","Single","0","Some college - no degree","employed","High","less1","never","gt8","less1","5min - 15min","0"
"196","Friend(s)","Sunny","10AM","Bar","1d","20-30","Single","0","Some college - no degree","employed","High","less1","never","gt8","less1","5min - 15min","0"
"197","Friend(s)","Sunny","10AM","Carry out & Take away","2h","20-30","Single","0","Some college - no degree","employed","High","less1","never","gt8","less1","15min - 25min","1"
"198","Friend(s)","Sunny","2PM","Coffee House","1d","20-30","Single","0","Some college - no degree","employed","High","less1","never","gt8","less1","5min - 15min","0"
"199","Friend(s)","Sunny","2PM","Coffee House","2h","20-30","Single","0","Some college - no degree","employed","High","less1","never","gt8","less1","15min - 25min","0"
"200","Friend(s)","Sunny","2PM","Coffee House","1d","20-30","Single","0","Some college - no degree","employed","High","less1","never","gt8","less1","15min - 25min","0"
"201","Friend(s)","Sunny","2PM","Restaurant(<20)","1d","20-30","Single","0","Some college - no degree","employed","High","less1","never","gt8","less1","15min - 25min","1"
"202","Friend(s)","Sunny","6PM","Coffee House","2h","20-30","Single","0","Some college - no degree","employed","High","less1","never","gt8","less1","5min - 15min","0"
"203","Friend(s)","Sunny","6PM","Restaurant(<20)","2h","20-30","Single","0","Some college - no degree","employed","High","less1","never","gt8","less1","15min - 25min","1"
"204","Friend(s)","Sunny","2PM","Coffee House","2h","20-30","Single","0","Some college - no degree","employed","High","less1","never","gt8","less1","5min - 15min","0"
"205","Friend(s)","Sunny","2PM","Carry out & Take away","1d","20-30","Single","0","Some college - no degree","employed","High","less1","never","gt8","less1","15min - 25min","1"
